accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000681,hsa-miR-29c-3p,KIAA1549L,-0.3063405734369859,1.5696310455673696e-06
MIMAT0000681,hsa-miR-29c-3p,LOX,-0.3146534186332392,8.145281512581224e-07
MIMAT0000681,hsa-miR-29c-3p,GPX7,-0.3117425160586595,1.027194049942051e-06
MIMAT0000681,hsa-miR-29c-3p,SLC36A1,-0.3048082916356459,1.7675403697783771e-06
MIMAT0000681,hsa-miR-29c-3p,CALU,-0.3070677580206728,1.4832722147997489e-06
MIMAT0000681,hsa-miR-29c-3p,COL5A1,-0.3557566615302041,2.3476396517698668e-08
MIMAT0000681,hsa-miR-29c-3p,NREP,-0.3392110480114964,1.0414352895456562e-07
MIMAT0000681,hsa-miR-29c-3p,EIF4E2,-0.3715621050262306,5.212904677729199e-09
MIMAT0000681,hsa-miR-29c-3p,ITGA11,-0.3230885433800231,4.101013116388585e-07
MIMAT0000681,hsa-miR-29c-3p,DYNLT1,-0.3045042159391935,1.8095432666460664e-06
MIMAT0000681,hsa-miR-29c-3p,SERPINH1,-0.4190909759855948,3.3750944231331445e-11
MIMAT0000681,hsa-miR-29c-3p,COL6A3,-0.3487001575566598,4.47850659173144e-08
MIMAT0000681,hsa-miR-29c-3p,PPIC,-0.3737263448586319,4.2151485579198435e-09
MIMAT0000681,hsa-miR-29c-3p,SH3PXD2B,-0.3412010665373894,8.745348920180247e-08
MIMAT0000682,hsa-miR-200a-3p,WWTR1,-0.4774291427878871,2.1304811454639718e-14
MIMAT0000682,hsa-miR-200a-3p,FOXN3,-0.3064076648717904,1.5614670963781448e-06
MIMAT0000682,hsa-miR-200a-3p,KLF6,-0.3026927471994736,2.08014855892944e-06
MIMAT0000682,hsa-miR-200a-3p,MAP4K4,-0.3063059455996675,1.5738605905360531e-06
MIMAT0000682,hsa-miR-200a-3p,NRP1,-0.3464893865678618,5.465234761249252e-08
MIMAT0000682,hsa-miR-200a-3p,IGDCC4,-0.304458766902713,1.8159023413342176e-06
MIMAT0000682,hsa-miR-200a-3p,NUMBL,-0.3037456498779368,1.9185085911871336e-06
MIMAT0000682,hsa-miR-200a-3p,CORO1C,-0.3869033190782069,1.1174695298293994e-09
MIMAT0000682,hsa-miR-200a-3p,BACH2,-0.3864293505549111,1.173333808351658e-09
MIMAT0000682,hsa-miR-200a-3p,SOBP,-0.3860275518701501,1.2227992885083635e-09
MIMAT0000682,hsa-miR-200a-3p,QKI,-0.359095001471683,1.7199947550518332e-08
MIMAT0000682,hsa-miR-200a-3p,SLC16A7,-0.3784467566955407,2.637583473444534e-09
MIMAT0000682,hsa-miR-200a-3p,MOB3B,-0.4344420466464306,5.552382004612795e-12
MIMAT0000682,hsa-miR-200a-3p,PDZD2,-0.3101372750644177,1.1661489634310017e-06
MIMAT0000682,hsa-miR-200a-3p,MEIS2,-0.3977526533580345,3.58075617513339e-10
MIMAT0000682,hsa-miR-200a-3p,DZIP1,-0.3546896912928302,2.5911065711751565e-08
MIMAT0000682,hsa-miR-200a-3p,GATA6,-0.3341629586024205,1.613195629058256e-07
MIMAT0000682,hsa-miR-200a-3p,RSPO3,-0.341316404644797,8.65694057567105e-08
MIMAT0000682,hsa-miR-200a-3p,RBMS1,-0.306815624080198,1.5126891731983698e-06
MIMAT0000682,hsa-miR-200a-3p,PPP2R2B,-0.3279644782838823,2.731833187371247e-07
MIMAT0000682,hsa-miR-200a-3p,PALM2AKAP2,-0.3609259483698945,1.4479915451477133e-08
MIMAT0000682,hsa-miR-200a-3p,SOX17,-0.3376084284156032,1.19766672902706e-07
MIMAT0000682,hsa-miR-200a-3p,ZEB2,-0.351139255847776,3.5888217747243125e-08
MIMAT0000682,hsa-miR-200a-3p,B3GNT5,-0.3829412406021381,1.676111435613554e-09
MIMAT0000682,hsa-miR-200a-3p,PPP1R3G,-0.4315372116893452,7.867547954903479e-12
MIMAT0000710,hsa-miR-365a-3p,MEF2D,-0.3029070069428814,2.0462399371364205e-06
MIMAT0000736,hsa-miR-381-3p,TPD52,-0.3031439912045293,2.009347859891564e-06
MIMAT0000736,hsa-miR-381-3p,ESR1,-0.3280240923178142,2.718178297218132e-07
MIMAT0000753,hsa-miR-342-3p,MBNL3,-0.3319225191109313,1.9541442056866374e-07
MIMAT0000753,hsa-miR-342-3p,TBX15,-0.3006313087591114,2.434892875238824e-06
MIMAT0000753,hsa-miR-342-3p,CDK6,-0.3062128832868743,1.5852813575941205e-06
